song_id,source,method,acquired_at,note
192,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
193,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
194,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
187,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
151,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
195,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
196,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
197,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
198,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
199,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
200,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
201,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
202,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
203,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
204,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
205,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
206,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
207,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
208,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
209,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
146,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
212,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
214,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
215,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
224,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
228,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
245,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
247,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
143,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
251,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
252,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
263,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
267,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
272,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
275,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
277,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
145,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
278,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
