Song,Artist Credit,Pattern,Votes
Needed Me,Rihanna,F9,3
Needed Me,Rihanna,F10,3
Needed Me,Rihanna,X1,3
Dangerous Woman,Ariana Grande,F8,3
Dangerous Woman,Ariana Grande,F14,3
Dangerous Woman,Ariana Grande,X15,2
Dangerous Woman,Ariana Grande,X16,3
No,Meghan Trainor,F8,3
No,Meghan Trainor,F12,3
No,Meghan Trainor,X15,3
Me Too,Meghan Trainor,F5,3
Me Too,Meghan Trainor,F6,3
Me Too,Meghan Trainor,F7,3
Sorry,Beyonce,F2,3
Sorry,Beyonce,F4,3
Sorry,Beyonce,F10,3
Sorry,Beyonce,X8,3
Sorry,Beyonce,X10,3
Side To Side,Ariana Grande Featuring Nicki Minaj,F11,3
Side To Side,Ariana Grande Featuring Nicki Minaj,F13,3
Side To Side,Ariana Grande Featuring Nicki Minaj,X1,2
Side To Side,Ariana Grande Featuring Nicki Minaj,X8,3
Side To Side,Ariana Grande Featuring Nicki Minaj,X11,3
"Sit Still, Look Pretty",Daya,F9,3
"Sit Still, Look Pretty",Daya,X8,3
Bodak Yellow (Money Moves),Cardi B,F2,3
Bodak Yellow (Money Moves),Cardi B,F3,3
Bodak Yellow (Money Moves),Cardi B,F5,3
Bodak Yellow (Money Moves),Cardi B,F9,2
Bodak Yellow (Money Moves),Cardi B,X3,3
Bodak Yellow (Money Moves),Cardi B,X8,3
Bodak Yellow (Money Moves),Cardi B,X9,3
Bodak Yellow (Money Moves),Cardi B,X10,3
Scars To Your Beautiful,Alessia Cara,X13,3
Look What You Made Me Do,Taylor Swift,F8,3
Look What You Made Me Do,Taylor Swift,F10,3
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,F10,3
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,X11,3
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,X12,3
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,X13,3
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,X14,3
Sorry Not Sorry,Demi Lovato,F7,3
Sorry Not Sorry,Demi Lovato,F8,3
Sorry Not Sorry,Demi Lovato,F9,3
Sorry Not Sorry,Demi Lovato,X1,3
Sorry Not Sorry,Demi Lovato,X15,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,M1,2
Rake It Up,Yo Gotti Featuring Nicki Minaj,M2,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,M4,2
Rake It Up,Yo Gotti Featuring Nicki Minaj,M8,2
Rake It Up,Yo Gotti Featuring Nicki Minaj,F2,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,F5,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,X1,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,X2,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,X3,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,X4,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,X7,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,X10,3
Rake It Up,Yo Gotti Featuring Nicki Minaj,X15,3
Loyalty.,Kendrick Lamar Featuring Rihanna,M1,3
Loyalty.,Kendrick Lamar Featuring Rihanna,F2,3
Loyalty.,Kendrick Lamar Featuring Rihanna,X1,3
Loyalty.,Kendrick Lamar Featuring Rihanna,X2,3
Loyalty.,Kendrick Lamar Featuring Rihanna,X4,3
Loyalty.,Kendrick Lamar Featuring Rihanna,X10,3
Love Galore,SZA Featuring Travis Scott,M1,3
Love Galore,SZA Featuring Travis Scott,M2,2
Love Galore,SZA Featuring Travis Scott,M10,2
Love Galore,SZA Featuring Travis Scott,F11,3
Love Galore,SZA Featuring Travis Scott,X2,3
Love Galore,SZA Featuring Travis Scott,X6,3
Love Galore,SZA Featuring Travis Scott,X8,3
Love Galore,SZA Featuring Travis Scott,X11,3
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,M1,3
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,F14,3
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,X2,3
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,X4,3
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,X5,3
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,X8,3
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,X16,3
I Like It,"Cardi B, Bad Bunny & J Balvin",M1,3
I Like It,"Cardi B, Bad Bunny & J Balvin",M13,3
I Like It,"Cardi B, Bad Bunny & J Balvin",F1,3
I Like It,"Cardi B, Bad Bunny & J Balvin",F8,3
I Like It,"Cardi B, Bad Bunny & J Balvin",X2,3
I Like It,"Cardi B, Bad Bunny & J Balvin",X4,3
I Like It,"Cardi B, Bad Bunny & J Balvin",X5,3
I Like It,"Cardi B, Bad Bunny & J Balvin",X8,3
I Like It,"Cardi B, Bad Bunny & J Balvin",X15,3
In My Feelings,Drake,M1,3
In My Feelings,Drake,M2,3
In My Feelings,Drake,M4,3
In My Feelings,Drake,M10,3
In My Feelings,Drake,M11,3
In My Feelings,Drake,M13,3
In My Feelings,Drake,X1,3
In My Feelings,Drake,X2,3
In My Feelings,Drake,X3,3
In My Feelings,Drake,X4,3
In My Feelings,Drake,X5,3
In My Feelings,Drake,X7,3
Girls Like You,Maroon 5 Featuring Cardi B,F3,2
Girls Like You,Maroon 5 Featuring Cardi B,X8,3
Girls Like You,Maroon 5 Featuring Cardi B,X9,3
Girls Like You,Maroon 5 Featuring Cardi B,X12,3
Girls Like You,Maroon 5 Featuring Cardi B,X14,3
Girls Like You,Maroon 5 Featuring Cardi B,X15,3
Nice For What,Drake,M1,3
Nice For What,Drake,M2,3
Nice For What,Drake,M3,2
Nice For What,Drake,M6,3
Nice For What,Drake,M9,3
Nice For What,Drake,M10,3
Nice For What,Drake,M11,3
Nice For What,Drake,X2,3
Nice For What,Drake,X7,3
Nice For What,Drake,X13,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,M4,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,M9,2
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,M13,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,X1,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,X3,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,X4,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,X5,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,X8,3
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,X14,3
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,M1,3
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,M5,3
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,X1,3
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,X2,3
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,X5,3
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,X6,3
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,X16,3
MotorSport,"Migos, Nicki Minaj & Cardi B",M1,3
MotorSport,"Migos, Nicki Minaj & Cardi B",M4,2
MotorSport,"Migos, Nicki Minaj & Cardi B",M13,3
MotorSport,"Migos, Nicki Minaj & Cardi B",F3,3
MotorSport,"Migos, Nicki Minaj & Cardi B",X1,3
MotorSport,"Migos, Nicki Minaj & Cardi B",X2,3
MotorSport,"Migos, Nicki Minaj & Cardi B",X3,3
MotorSport,"Migos, Nicki Minaj & Cardi B",X4,3
MotorSport,"Migos, Nicki Minaj & Cardi B",X8,3
MotorSport,"Migos, Nicki Minaj & Cardi B",X9,3
Be Careful,Cardi B,F1,3
Be Careful,Cardi B,F4,3
Be Careful,Cardi B,F11,3
Be Careful,Cardi B,F14,3
Be Careful,Cardi B,X1,3
Be Careful,Cardi B,X8,2
Be Careful,Cardi B,X11,2
Be Careful,Cardi B,X16,3
Bartier Cardi,Cardi B Featuring 21 Savage,M1,3
Bartier Cardi,Cardi B Featuring 21 Savage,M7,2
Bartier Cardi,Cardi B Featuring 21 Savage,M13,3
Bartier Cardi,Cardi B Featuring 21 Savage,F3,3
Bartier Cardi,Cardi B Featuring 21 Savage,F12,2
Bartier Cardi,Cardi B Featuring 21 Savage,X1,3
Bartier Cardi,Cardi B Featuring 21 Savage,X2,3
Bartier Cardi,Cardi B Featuring 21 Savage,X4,3
Bartier Cardi,Cardi B Featuring 21 Savage,X6,3
Bartier Cardi,Cardi B Featuring 21 Savage,X8,3
Bartier Cardi,Cardi B Featuring 21 Savage,X9,3
Bartier Cardi,Cardi B Featuring 21 Savage,X15,3
God Is A Woman,Ariana Grande,F8,3
God Is A Woman,Ariana Grande,F9,3
