Group,Keyword,Votes
masculine,dominance-and-power,3
masculine,family-and-fatherhood,2
masculine,hustle-and-money,3
masculine,rivalry-and-superiority,3
masculine,self-confidence-and-braggadocio,3
masculine,showing-off-and-impressing,3
masculine,street-loyalty-and-danger,3
masculine,violence-and-street-danger,3
masculine,wealth-and-flexing,3
misogyny,rejection-of-women,3
vulnerable,disappointment-and-failure,3
vulnerable,fear-of-losing-love,3
vulnerable,heartbreak-and-grief,3
vulnerable,hidden-emotional-struggle,3
vulnerable,inner-mental-turmoil,3
vulnerable,loneliness-and-isolation,3
vulnerable,longing-and-loss,3
vulnerable,past-trauma-and-healing,3
vulnerable,self-worth-and-insecurity,3
vulnerable,vulnerability-and-betrayal,3
women-power,female-empowerment,3
women-power,women-power,3
