Song,Artist Credit,Keyword,Quote
'Til You Can't,Cody Johnson,ambition-and-self-determination,If you got a dream chase it
'Til You Can't,Cody Johnson,avoiding-commitment,You can keep puttin' off forever with that girl who's heart you hold
'Til You Can't,Cody Johnson,cherishing-the-present-moment,Take it while you got a chance
'Til You Can't,Cody Johnson,clinging-to-love,Hold 'em as long and as strong and as close as you can
'Til You Can't,Cody Johnson,dream-and-awakening,'Cause a dream won't chase you back
'Til You Can't,Cody Johnson,family-and-distance,So take that phone call from your mama
'Til You Can't,Cody Johnson,family-and-fatherhood,You can tell your old man you'll do some large-mouth fishin' another time
'Til You Can't,Cody Johnson,guilt-and-apology,"Say your sorry's, I love you's"
'Til You Can't,Cody Johnson,impermanence,'Til you can't
'Til You Can't,Cody Johnson,legacy-and-family,Still waitin' on you and your grandad to bring it back to life|There's a box of greasy parts sittin' in the trunk of that sixty-five
'Til You Can't,Cody Johnson,longing-and-loss,'Cause you'll never know how bad you wanna
'Til You Can't,Cody Johnson,mortality-and-death,Don't wait on tomorrow 'cause tomorrow may not show
'Til You Can't,Cody Johnson,nostalgia-and-longing,There's a box of greasy parts sittin' in the trunk of that sixty-five
'Til You Can't,Cody Johnson,regret-and-reflection,You can always put a rain check in his hand
'Til You Can't,Cody Johnson,urgency-and-time-pressure,Don't wait on tomorrow 'cause tomorrow may not show
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,authenticity-and-honesty,I know I'm hurtin' deep down but can't show it
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,faith-and-spirituality,"I've been prayin' for somebody to save me, no one's heroic"
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hidden-emotional-struggle,I know I'm hurtin' deep down but can't show it
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,hope-and-optimism,It can be hard\nIt can be so hard\nBut you gotta live right now
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,human-connection,"it's the lightness in the air\nWhen you're there, chest to chest with a lover"
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,inner-mental-turmoil,I feel like I'm out of my mind
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,loneliness-and-isolation,"I never had a home, ain't nobody callin' my phone"
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,mortality-and-death,I don't wanna be alive\nI just wanna die today
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,overcoming-hardship,I don't even wanna die anymore
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,past-trauma-and-healing,"It's the very first breath\nWhen your head's been drownin' underwater|Pain don't hurt the same, I know"
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,personal-growth-and-change,I finally wanna be alive
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,reassurance-and-comfort,I want you to be alive\nYou don't gotta die today
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,resilience-and-strength,But I'm moving 'til my legs give out
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,self-worth-and-insecurity,They say every life precious but nobody care about mine
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,societal-pressure,They say every life precious but nobody care about mine
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,vulnerability-and-betrayal,"I've been prayin' for somebody to save me, no one's heroic"
"10,000 Hours",Dan + Shay & Justin Bieber,clinging-to-love,"And I might never get there, but I'm gonna try"
"10,000 Hours",Dan + Shay & Justin Bieber,devotion,"If it's 10,000 hours or the rest of my life"
"10,000 Hours",Dan + Shay & Justin Bieber,dream-and-awakening,"When you close your eyes\nTell me, what are you dreamin'?"
"10,000 Hours",Dan + Shay & Justin Bieber,family-and-distance,Did you get your middle name from your grandma?
"10,000 Hours",Dan + Shay & Justin Bieber,human-connection,"Everything, I wanna know it all"
"10,000 Hours",Dan + Shay & Justin Bieber,intimacy-and-connection,"Ooh, want the good and the bad, everything in between"
"10,000 Hours",Dan + Shay & Justin Bieber,longing-and-loss,Do you think of me?|When you think about your forever now
