Keyword,Run,Song
a-single-moment-of-change,run1,397
abandoned-plans,run1,743
abandoned-plans,run2,743
abandonment,run1,8
abandonment,run1,125
abandonment,run1,790
abandonment,run1,803
abandonment,run2,8
abandonment,run2,125
abandonment,run2,790
abandonment,run2,803
abandonment-and-solitude,run2,707
absent-father,run1,141
absent-father,run1,849
absent-father,run2,141
absent-father,run2,849
academic-metaphor,run1,752
acceptance-of-absence,run2,555
acceptance-of-an-ending,run1,261
acceptance-of-ending,run1,44
acceptance-of-fate,run1,686
acceptance-of-fate,run2,686
acceptance-of-flaws,run1,253
acceptance-of-flaws,run2,253
acceptance-of-hardship,run1,420
acceptance-of-inevitable-endings,run2,46
acceptance-of-lifes-unpredictability,run2,602
acceptance-of-lifes-ups-and-downs,run1,602
acceptance-of-loss,run2,665
acceptance-of-struggle,run2,409
acceptance-of-struggle,run2,420
acceptance-of-suffering-for-love,run1,665
accountability-and-confrontation,run2,439
actions-over-words,run1,74
actions-over-words,run1,466
actions-over-words,run2,74
actions-over-words,run2,466
actions-speak-louder-than-words,run1,143
adaptability-in-love,run2,469
addiction,run1,72
addiction,run1,666
addiction,run2,72
addiction-and-compulsion,run1,751
addiction-and-compulsion,run2,751
addiction-and-obsession,run1,770
addiction-and-obsession,run2,770
addiction-and-sobriety,run1,599
addiction-and-sobriety,run2,599
addiction-metaphor,run1,454
addiction-metaphor,run2,454
addiction-to-a-person,run2,722
addictive-love,run2,56
admiration-and-beauty,run1,381
admiration-and-beauty,run2,381
admiration-and-desire,run1,294
admiration-and-desire,run1,779
admiration-and-desire,run2,294
admiration-despite-differences,run1,730
admiration-despite-differences,run2,730
admiration-of-a-partner,run1,354
admiration-of-a-woman,run1,295
admiration-of-beauty,run1,210
admiration-of-beauty,run2,210
admiration-of-beauty,run2,779
admiration-of-partner,run2,354
admiration-of-partner,run2,712
admiration-of-womans-hustle,run2,295
admiring-a-partner's-beauty,run1,193
admiring-a-partner's-beauty,run2,193
admiring-a-womans-beauty,run2,549
adoration,run1,371
adoration,run2,371
adrenaline-and-drive,run2,224
adult-hardship,run1,138
adult-hardship,run1,258
adult-hardship,run2,258
adult-responsibilities,run1,506
adult-responsibilities,run2,506
adult-stress-and-anxiety,run1,5
adult-stress-and-anxiety,run2,5
adventure-and-exploration,run2,845
adventure-and-freedom,run2,418
adventure-and-spontaneity,run1,100
adventurous-freedom,run2,458
adversity-and-struggle,run1,864
adversity-and-struggle,run2,864
affordable-date-night,run1,481
affordable-date-night,run2,481
after-party-hookup,run1,613
after-party-hookup,run2,613
afterglow-and-satisfaction,run1,704
aftermath-of-intimacy,run2,696
aggression-and-threats,run1,801
aggression-and-toughness,run1,309
aggression-and-toughness,run1,410
aggression-and-toughness,run2,309
aggression-and-toughness,run2,410
aging-and-passage-of-time,run2,863
aging-and-time,run1,863
agricultural-hardship,run1,323
alcohol,run1,809
alcohol-and-arousal,run1,584
alcohol-and-arousal,run2,584
alcohol-and-bad-habits,run1,716
alcohol-and-bad-habits,run2,716
alcohol-and-drinking,run1,776
alcohol-and-drinking,run2,776
alcohol-and-escapism,run1,3
alcohol-and-escapism,run1,467
alcohol-and-escapism,run2,3
alcohol-and-escapism,run2,467
alcohol-and-impulsive-decisions,run1,81
alcohol-and-impulsive-decisions,run2,81
alcohol-and-intimacy,run1,345
alcohol-and-intimacy,run2,345
alcohol-and-intoxication,run1,633
alcohol-and-intoxication,run1,721
alcohol-and-intoxication,run2,633
alcohol-and-intoxication,run2,668
alcohol-and-intoxication,run2,721
alcohol-and-late-night-emotions,run1,275
alcohol-and-late-night-emotions,run2,275
alcohol-and-lowered-inhibitions,run1,873
alcohol-and-lowered-inhibitions,run2,873
alcohol-and-nightlife,run1,871
alcohol-and-nightlife,run2,871
alcohol-and-numbness,run1,303
alcohol-and-partying,run1,114
alcohol-and-partying,run1,520
alcohol-and-partying,run2,114
alcohol-and-partying,run2,520
alcohol-and-self-destruction,run1,725
alcohol-and-self-destruction,run2,725
alcohol-and-struggle,run1,882
alcohol-and-struggle,run2,882
alcohol-and-substance-abuse,run2,630
alcohol-and-substances,run1,668
alcohol-as-comfort,run1,333
alcohol-as-coping,run1,226
alcohol-as-coping,run1,428
alcohol-as-coping,run1,433
alcohol-as-coping,run1,763
alcohol-as-coping,run2,226
alcohol-as-coping,run2,433
alcohol-as-coping,run2,563
